INDIVIDUAL MACIEL, Adriana M152a  2004
INDIVIDUAL ARAÚJO, Vasco A663v  2003 Coleção Bibliográfica
INDIVIDUAL BAECHLER, Donald B139p  2002 Coleção Bibliográfica
LA 82-1(81) M198v  2005 Coleção Bibliográfica
LA 74 A656  2012 Coleção Bibliográfica
INDIVIDUAL BOTELHO, Adir B748b  2012 Coleção Bibliográfica 
INDIVIDUAL  NASCIMENTO, Abdias
COLETIVO CAIXA CULTURAL C138f  [2006?] Coleção Bibliográfica 
INDIVIDUAL CAMARGO, Tony C172t  2012 Coleção Bibliográfica
INDIVIDUAL LAMBRI, Luisa L226p  2012 Coleção Bibliográfica
COLETIVO Musée des Beaux-Arts de Nantes M986p  2000 Coleção Bibliográfica
INDIVIDUAL CALAPEZ, Pedro C142p  2008 Coleção Bibliográfica
COLETIVO Museu de Arte do Rio M986c  2013 Coleção Bibliográfica
LA 7 D541t  2012 Coleção Bibliográfica
COLETIVO National Touring Exhibitions N277c  2000 Coleção Bibliográfica
INDIVIDUAL GONZALEZ-TORRES, Felix G643f  1993 Coleção Bibliográfica
INDIVIDUAL ELIASSON, Olafur E42s  2012 Coleção Bibliográfica
LA 74 D541  2012 Coleção Bibliográfica
LA 7 M895p  [2012?]
LA 7(81) K14m  2013 Coleção Bibliográfica
LA 7(81) S586b  2008 Coleção Bibliográfica
LA 7(81) S586k  2011 Coleção Bibliográfica
LA 7(81) S586l  2009 Coleção Bibliográfica
COLETIVO Caixa Cultural C138m  2011 Coleção Bibliográfica 
COLETIVO Museu de Arte Contemporânea de Niterói M986r  2011 Coleção Bibliográfica 
COLETIVO Salão da Bahia S161d  2005 Coleção Bibliográfica 
COLETIVO Coletiva de Artistas de Joinville C694  2009 Coleção Bibliográfica 
COLETIVO Casa de Cultura Laura Alvim C334t  1988 Coleção Bibliográfica 
COLETIVO Biblioteca Nacional (Brasil) F981b  2000 Coleção Bibliográfica 
INDIVIDUAL BLAKEMORE, John B637f  1991 Coleção Bibliográfica 
COLETIVO Caixa Cultural C138g  2007 Coleção Bibliográfica 
COLETIVO 110 Arte Contemporânea C397o  1989 Coleção Bibliográfica 
INDIVIDUAL NASSAR, Emmanuel N265p  2003 Coleção Bibliográfica 
COLETIVO Galeria Vermelho G154u  2006 Coleção Bibliográfica
INDIVIDUAL ZALUAR, Abelardo Z22a  1993 Coleção Bibliográfica 
COLETIVO Serviço Social do Comércio. SESC S491a  2011 Coleção Bibliográfica
COLETIVO Serviço Social do Comércio. SESC S491a  2010 Coleção Bibliográfica
COLETIVO Serviço Social do Comércio. SESC S493a  2006 Coleção Bibliográfica 
INDIVIDUAL VAREJÃO, Adriana V292a  2013 Coleção Bibliográfica 
741(815.1) G169a  Coleção Bibliográfica
INDIVIDUAL LEME, Shirley Paes L551a  2012 Coleção Bibliográfica 
INDIVIDUAL PAPE, Cristina P214a  1996 Coleção Bibliográfica 
INDIVIDUAL MENDES, Albuquerque M538n  2005 Coleção Bibliográfica
INDIVIDUAL FLEMMING, Alex F597a  1997 Coleção Bibliográfica 
INDIVIDUAL CASTRO, Amilcar de C355a  2012 Coleção Bibliográfica 
INDIVIDUAL PACHECO, Ana Maria P116t  2000 Coleção Bibliográfica
INDIVIDUAL TAVARES, Ana Maria T231a  1990 Coleção Bibliográfica
COLETIVO Paço das Artes P121a  1990 Coleção Bibliográfica
COLETIVO Centro Cultural da PUC-Rio S684s  1989 Coleção Bibliográfica 
INDIVIDUAL SIDÉN, Ann-Sofi S568a  200-? Coleção Bibliográfica
COLETIVA Serviço Social do Comércio. SESC S491a  2011 Coleção Bibliográfica 
INDIVIDUAL TÀPIES, Antoni T172a  2004 Coleção Bibliográfica
INDIVIDUAL IVO, Gonçalo I96g  2003
INDIVIDUAL FERRARI, Arnaldo F375a  2006
INDIVIDUAL GIULIO, Pablo di G537a  2001 Coleção Bibliográfica 
COLETIVO Feira internacional de arte contemporânea do Rio de Janeiro F299a  2012 Coleção Bibliográfica
INDIVIDUAL HANSEN, Silvio H249a  2012 Coleção Bibliográfica 
COLETIVO Serviço Social do Comércio. SESC V494a  2007 Coleção Bibliográfica 
COLETIVO Fundación Proa F981a  2012 Coleção Bibliográfica 
INDIVIDUAL 738(81) T716a  2003 Coleção Bibliográfica 
COLETIVO Museu de Arte Moderna do Rio de Janeiro M986a  2003 Coleção Bibliográfica 
COLETIVO Arte Futura e Companhia A786a  2002 Coleção Bibliográfica
COLETIVO Galeria Passado Composto Século XX G154a  2012 Coleção Bibliográfica 
COLETIVO Itaú Cultural I88b  2000 Coleção Bibliográfica 
LA 7.038.55(81) T926a  2001 Coleção Bibliográfica 
INDIVIDUAL VAREJÃO, Adriana V292a  2001 Coleção Bibliográfica 
INDIVIDUAL MEIRELES, Cildo M499b  2006 Coleção Bibliográfica 
INDIVIDUAL MILHAZES, Beatriz M637b  2012 Coleção Bibliográfica 
COLETIVO Bienal de la Habana B588b  1994 Coleção Bibliográfica 
INDIVIDUAL WAGNER, Bárbara W132b  2007 Coleção Bibliográfica 
INDIVIDUAL DUARTE, Jorge D812b  2004 Coleção Bibliográfica 
INDIVIDUAL BRODSKY, Marcelo B864b  2011 Coleção Bibliográfica 
INDIVIDUAL MORENO, Gustavo M843c  2012 Coleção Bibliográfica 
COLETIVO Oi Futuro C172c  2006 Coleção Bibliográfica 
INDIVIDUAL  CAMARGO, Sergio C172c  1987 Coleção Bibliográfica
INDIVIDUAL KACHANI, Camille K11c  2003 Coleção Bibliográfica
COLETIVO Paço Imperial P121c  2002 Coleção Bibliográfica 
INDIVIDUAL FELIX, Nelson F316c  2006 Coleção Bibliográfica 
INDIVIDUAL TOZZI, Claudio T757c  2010 Coleção Bibliográfica
INDIVIDUAL NIKLAUS, Martha N692c  1997 Coleção Bibliográfica 
COLETIVO Complexo Funarte São Paulo C736c  2011 Coleção Bibliográfica 
COLETIVO Paço Imperial P121c  2000 Coleção Bibliográfica 
